ID,name,hiraname,age,sex,job,color,hp,mp,san,db,str,con,pow,dex,app,siz,int,edu,skill,setting,scenario,driverCom,managerCom,bossCom,spiritualCom,warcrimCom,creatorCom,maker,filename
1,中川　ガネッシュ,なかがわ　がねっしゅ,25,男,カメラマン,ペルシアンブルー　#1C39BB,12/12,13/13,65/65,1d4,17,12,13,15,15,13,14,8,ccb<=50　　目星$ccb<=25　　聞き耳$ccb<=25　　図書館$ccb<=40　　応急手当$ccb<=41　　精神分析$ccb<=70　　写真術$ccb<=23　　オカルト$ccb<=45　　日本語$ccb<=21　　英語$ccb<=60　　回避$ccb<=9　　クトゥルフ神話技能ccb<=９０　キック$1d6+1d4　　ダメージ（MAなし）$1d6*2+1d4　　ダメージ（MAあり）,生まれながらの欠陥品$クマールのことは便利な舎弟扱い,紅の幻想$n回目の初演$孕む緑と愛を視よ,,そなたは美しい,合作,これからいじめていきたい,情操教育,主人公,,Ganesh.html
2,Timo・Nieminen,てぃも　にえみねん,10,男,小学生,イエロー　#FFFF00,9/9,15/15,75/75,,10,11,15,12,14,7,16,6,ccb<=60　　目星$ccb<=35　　聞き耳$ccb<=45　　図書館$ccb<=85　　心理学$ccb<=75　　言いくるめ$ccb<=70　　隠れる$ccb<=40　　応急手当$ccb<=25　　フィンランド語$ccb<=30　　英語$ccb<=4　　クトゥルフ神話,フィンランドから来た少年$本人は知らないがイタリアンマフィアの嫡男$猫かぶりがエグい$おじちゃんにちょっかいを出すのが最近のブーム,"貴方は私を二度殺すのね$遊園地は死で遊ぶ$Because, Baby, I love you$奇奇怪怪同好会",,いいぞもっとやれ,なんか思ったより腹黒い…,声好き,将来が楽しみ,原田の相棒（）,,
3,Luca・Cassini,るか　かっしーに,29,男,聖職者,ブラック　#000000,8/8,15/15,75/75,,1900/01/14,7,15,13,15,10,13,18,ccb<=75  目星$ccb<=55　聞き耳$ccb<=75　図書館$ccb<=85　心理学$ccb<=50　信用$ccb<=90　イタリア語$ccb<=71　ラテン語$ccb<=71　英語$ccb<=76　回避$ccb<=75　拳銃,一応、ティモの保護者 イタリアンマフィアとつながりがある 上司自身もこいつのことわからん 愉悦検定1級保持者,デッドマンズエスケイプショウ,,人生楽しい？,エセ関西弁、楽しいｗ,愉悦に嫌味がなくてさっぱり系,早く逢いたいぜ,キチ発揮してほし,,
4,Noelu・Kettunen,のえる　けっとぅねん,19,男,大学生/マフィア構成員,きつね色　#C97E13,12/12,14/14,70/70,1d4,12,8,14,12,15,15,17,12,ccb<=50　　目星$ccb<=25　　聞き耳$ccb<=65　　図書館$ccb<=71　　重機操作$ccb<=50　　応急手当$ccb<=40　　隠す$ccb<=31　　生物学$ccb<=51　　薬学$ccb<=64　　回避$ccb<=25　　信用$ccb<=36　　英語$ccb<=21　　日本語$ccb<=70　　キック$ccb<=60　　フィンランド語$ccb<=60　　イタリア語,ティモのお目付け役$日本の大学に留学中$本職はマフィア構成員だが、$そこそこに大学生活を謳歌している模様,はらぺこあおむし$太古の座敷牢$デッドレックエンコード$果てにて$芋虫。,,確かにひらがなかわいいｗ,名前ひらがなにするとウケるｗ,中の人と似てる、キツネみたいでかわいい,相手のせいで苦労人に見える,わしゃわしゃしたい,,
5,大神　ササ,おおがみ　ささ,23,男,小料理屋店主,笹色　#396122,11/11,9/9,45/45,1d4,14,12,9,13,12,11,15,13,ccb<=50　　目星$ccb<=25　　聞き耳$ccb<=25　　図書館$ccb<=75　　心理学$ccb<=31　　鍵開け$ccb<=85　　製作（料理）$ccb<=31　　精神分析$ccb<=15　　値切り$ccb<=65　　日本語$ccb<=4　　クトゥルフ神話$ccb<=31　　MA$ccb<=70　　キック$ccb<=76　　回避,ガネッシュの中学時代の後輩$同じ部活だった$一人で切り盛りする小料理屋を営んでいる$ガネッシュに対して$多少のクソデカ感情あり,Life goes on white room$矛盾本能$無題,しっかり者,お世話になっております,最近出番がない,常識人枠？？,硬派お料理男子,見た目一番好き,,
6,花月　快理,はなつき　かいり,24,男,不動産屋社長,グレイ　#BEBEBE,10/10,15/15,75/75,,11,9,15,13,13,11,16,19,ccb<=65　　目星$ccb<=35　　聞き耳$ccb<=25　　図書館$ccb<=70　　運転$ccb<=31　　鍵開け$ccb<=71　　コンピュータ$ccb<=61　　経理$ccb<=75　　信用$ccb<=51　　精神分析$ccb<=95　　日本語$ccb<=41　　英語$ccb<=76　　回避$ccb<=65　　キック$ccb<=21　　MA$ccb<=40　　拳銃,ガネッシュの中学時代の後輩$同じ部活だった$ガネッシュの右腕ができたくらいには優秀$実家の不動産業を継いだ,祝祭,,有能,扱いに困ってる、,,強く生きて,よくわからん,,
7,花月　メイ,はなつき　めい,19,女,メイド兼秘書,Light chocolate cosmos　#663333,12/12,9/9,45/45,,11,11,9,11,14,12,10,11,ccb<=75　　目星$ccb<=50　　聞き耳$ccb<=45　　図書館$ccb<=50　　隠れる$ccb<=60　　忍び歩き$ccb<=77　　回避$ccb<=60　　運転$ccb<=31　　精神分析$ccb<=55　　日本語,花月家のメイド、兼、快理の秘書$実はNPC上がり$かわいい、$すごくかわいい$ちょっとツンデレ気味、なはず,私、友蔵の孫の友人です。$シュガーレス・ハッピーバレンタイン,メイちゃ～！！,スカートがしっぽに見えてかわいい,実質、紅一点,いっぱい出て欲しい,君が生まれる前に上着掛けたよ,ツンデレ可愛い,,
8,花月　矢筈,はなつき　やはず,31,男,執事兼ボディーガード,濃青色　#010066,15/15,17/17,85/85,1d4,17,14,17,15,12,15,10,14,ccb<=70　　目星$ccb<=25　　聞き耳$ccb<=40　　図書館$ccb<=45　　説得$ccb<=51　　精神分析$ccb<=30　　歴史$ccb<=55　　跳躍$ccb<=45　　応急手当$$ccb<=ライフル　70$2d10+1d8+6　　ライフルダメージ$ccb<=85　　キック$ccb<=51　　MA$1d6+1d4　　キック（MAなし）$1d6*2+1d4　　キック（MAあり）$ccb<=75　　回避,花月家の執事、兼、ボディーガード$実は記憶喪失だったり、$ハードモードな過去があったりしたんだけど、$死んじゃったぜ,壊胎,,絶対忘れないから！！,どうにか再利用したい,ああ…いいやつだったよ,早すぎた死,イケメン,,
9,櫟　燕,あららぎ　つばめ,21,男,花屋のバイト,スチールティール　#5F8A8B ,13/13,14/14,50/50,,12,14,10,10,12,13,17,14,ccb<=65　　目星 ccb<=25　　聞き耳 ccb<=30　　図書館 ccb<=31　　生物学 ccb<=45　　オカルト ccb<=80　　心理学 ccb<=90　　言いくるめ ccb<=65　　隠れる ccb<=50　　芸術（フラワーアレンジメント） ccb<=70　　日本語 ccb<=65　　投擲　ccb<=2 クトゥルフ神話技能値,幽霊が見える$上司の中で、最も一般人枠,探索者ピックアップガチャ$密室シェアハウス$ワンルーム・ディスコン,あの時仕留めておけば…,えへへへかわいい,そこそこやりやすい,あああああ！(発狂),引っ越しちゃったんですね…,いつも不憫枠,,
10,葛　喜虎,つづら　きとら,35,男,外科医,Blood red　#660000,12/12,11/11,55/55,,12,13,11,14,6,10,11,21,ccb<=65　　目星$ccb<=55　　聞き耳$ccb<=25　　図書館$ccb<=95　　医学$ccb<=70　　応急手当$ccb<=51　　薬学$ccb<=45　　隠す$ccb<=21　　精神分析$ccb<=68　　回避$ccb<=70　　忍び歩き$ccb<=75　　投擲$ccb<=81　　英語$ccb<=100　　日本語,意外にも、ガネッシュに次いで$人間関係交差点の真ん中に立ってる人,棄教,,色気,立ち位置が好み,人生経験豊富,火傷に凹凸とテカリを…,火傷もっとグロくしてください,,
11,矢ノ木　候,やのき　さぶろう,15,男,中学生/怪盗,柳色　#A8C97F,10/10,16/16,76/80,,12,8,16,14,12,9→10,17,13,ccb<=70　　目星$ccb<=25　　聞き耳$ccb<=25　　図書館$ccb<=65　　登攀$ccb<=75　　跳躍$ccb<=70　　忍び歩き$ccb<=55　　隠す$ccb<=30　　応急手当$ccb<=55　　制作（爆発物）$ccb<=65　　日本語$ccb<=33　　MA$ccb<=75　　キック$ccb<=90　　回避$$1d6　　キックダメージ$1d6*2  　キックMAアリ,一回死にました☆$食に貪欲$純粋だが、現実に対してとてつもなくシビア,豪華客船と怪盗団$再上映$極楽浄土に棲む魚ver創造主,,ちゅき,何も怖くない,もっとちゃんとした子で同卓したい,いつも介護ありがとう,エモい,,
12,兎卯綿　エリヤ,とうわた　えりや,32,男,法医学医,ディア　#BA8759,11/11,8/8,/80,,10,9,16,15,18,13,15,19,ccb<=80　　目星$ccb<=65　　聞き耳$ccb<=65　　図書館$ccb<=90　　医学$ccb<=60　　応急手当$ccb<=65　　法律$ccb<=51　　精神分析$ccb<=70　　説得$ccb<=51　　化学$ccb<=21　　変装$ccb<=95　　英語$ccb<=46　　日本語,妻を殺した過去を持つ$一度心を病んだが救われそうな気がしなくもない$32歳にしては、存在が可愛すぎる,海も枯れるまで$さよならの向こう側,32歳マジ？,なでなで,上司が被爆した,顔が未亡人感ある,初恋ですよ,おいしそう,,
13,中川　クマール,なかがわ　くまーる,20,男,モデル兼俳優,ターコイズブルー　#00B7CE,12/12,16/16,80/80,,9,10,16,12,17,15,14,12,ccb<=60　　目星$ccb<=30　　聞き耳$ccb<=25　　図書館$ccb<=80　　信用$ccb<=85　　心理学$ccb<=76　　変装$ccb<=55　　芸術（演技）$ccb<=60　　日本語$ccb<=31　　英語$ccb<=40　　拳銃$ccb<=50　　回避,最近俳優デビューした$口調がほぼ中の人$兄に対して独占欲を抱いている,セーラー服を脱がさないで$チョコレイトはいかが？,くまっち～！,このクソイケメンがっ！,楽しい,この子見てるとじわじわダメージ受けるの,LINE送ってね〜,とてもいい,,
