ID,name,hiraname,age,sex,job,color,hp,mp,san,db,str,con,pow,dex,app,siz,int,edu,skill,setting,scenario,driverCom,managerCom,bossCom,spiritualCom,warcrimCom,creatorCom,maker,filename
1,花家澪,はなやみお,20,女,放射線学科2年生,#5DCCAB,13/13,13/13,65/65,1D4,14,11,13,8,10,15,12,12,ccb<=65　幸運$ccb<=60　アイデア$ccb<=60　知識$ccb<=70　目星$ccb<=65　聞き耳$ccb<=60　図書館$ccb<=60　応急手当$ccb<=45　心理学$ccb<=45　医学$ccb<=20　信用$ccb<=31　他の言語(英語)$ccb<=50　写真術$ccb<=35　機械修理$ccb<=50　キック$ccb<=40　組付き$ccb<=16　回避,ホラー・オカルト好き$ネトスト気味$千夜の実況見てる,"white room-矛盾本能　$because, baby, i love you",最初の子。ほぼ自分。,かわいい,そのうちすごいことしそう（期待）,運転手感すごい、好き,,好きなので頻出して欲しい,上司,
2,霧島千夜,きりしまちよ,20,女,法学科2年生/ゲーム実況者,#6E3FE7,12/12,12/12,59/60,0,7,11,12,12,10,13,12,13,ccb<=60　幸運$ccb<=60　アイデア$ccb<=65　知識$ccb<=75　目星$ccb<=55　聞き耳$ccb<=65　図書館$ccb<=45　歌唱$ccb<=21　コンピューター$ccb<=45　心理学$ccb<=30　説得$ccb<=20　電気修理$ccb<=24　回避$ccb<=45　隠れる$ccb<=40　応急手当$ccb<=35　オカルト$ccb<=40　歴史$ccb<=40　法律$ccb<=30　キック,萌え声ホラー実況主$特技エゴサ,私、友蔵の孫の友人です。,実況者要素出すのムズイ。,かわいい,せんぱーい！！！,麻宮でもっと絡み倒したい,,頼りになる,,
3,神立陽,かんだちひなた,19,男,配達員,#FAB80D,14/14,11/11,53/55,1D4,1900/01/13,10,11,9,12,17,9,12,ccb<=55　幸運$ccb<=45　アイデア$ccb<=60　知識$ccb<=25　図書館$ccb<=55　目星$ccb<=75　聞き耳$ccb<=30　機械修理$ccb<=21　重機械操作$ccb<=25　電気修理$ccb<=40　ナビゲート$ccb<=15　値切り$ccb<=40　信用$ccb<=50　運転(車)$ccb<=40　運転(バイク)$ccb<=43　回避$ccb<=50　組付き$ccb<=65　キック,能筋陽キャ$地頭よわよわその1$2歳年下の妹がいる$セーラー服を脱がすな！,混沌を運ぶ者$ONCE FOR BOTH【PC2】$セーラー服を脱がさないで$カタシロ$LIFE GOES ON,使い勝手◎。かわいい。,うちの完をよろしく,これからもいっぱい遊んであげるね☆,発狂で女装癖引こう？ね？？,カラーリング、女装好き,女装,https://picrew.me/image_maker/17569,
4,天ケ瀬依義,あまがせいつき,24,男,警察官→Fαng隊員,#880223,15/15,10/10,50/50,1D4,12,16,10,10,6,14,12,14,ccb<=50　幸運$ccb<=60　アイデア$ccb<=70　知識$ccb<=70　聞き耳$ccb<=40　目星$ccb<=50　図書館$ccb<=40　応急手当$ccb<=50　キック$ccb<=60　拳銃(S&W M39)$ccb<=55　アサルトライフル(SCAR-L)$ccb<=60　こぶし$ccb<=15　言いくるめ$ccb<=30　心理学$ccb<=30　説得$ccb<=40　追跡$ccb<=35　法律$ccb<=36　マーシャルアーツ$ccb<=50　投擲$ccb<=50　登攀$ccb<=35　跳躍$ccb<=30　運転(車),強面の元警察官$顔の傷は猫のせい$サバゲ―が趣味$ストレスによる色弱$Fαng所属,壊胎,君がヒーローになるんだよ,かっこいいよ～,,かっこよかったよ,お世話になりました～,キャラデザ一番好き,一生懸命探してるけど見つからないのでなくなった説濃厚,
5,若葉惹,わかばひな,19,女,アイドル→大学生,#FFCACE,12/12,10/10,50/50,1D4,12,9,10,6,17,13,11,12,ccb<=50　幸運$ccb<=55　アイデア$ccb<=60　知識$ccb<=50　聞き耳$ccb<=70　目星$ccb<=40　図書館$ccb<=35　説得$ccb<=45　心理学$ccb<=36　変装$ccb<=10　芸術(歌唱)$ccb<=60　芸術(ダンス)$ccb<=45　言いくるめ$ccb<=40　写真術$ccb<=50　隠れる,元アイドルHiNα$家事が出来ない$ダンスが上手い$元二重人格(殺人鬼)$今は大学生,密室シェアハウス【HO2】$果てにて$素晴らしき新年,つらい。,ご、ごめん、、、,ご、ごめん、、、,ゆるさんその1、くそかわ、この子見てると感情がジェットコースター,ご、ごめん、、、,ご、ごめん、、、,"https://picrew.me/image_maker/278121
メーカー削除済み",
6,宵町涯,よいまちはたて,26,男,俳優,#094078,14/14,14/14,60/60,1D4,9,11,14,9,15,16,15,14,ccb<=70　幸運$ccb<=75　アイデア$ccb<=70　知識$ccb<=65　図書館$ccb<=45　聞き耳$ccb<=61　目星$ccb<=30　言いくるめ$ccb<=35　運転(車)$ccb<=40　芸術(演劇)$ccb<=45　心理学$ccb<=40　説得$ccb<=41　変装$ccb<=45　跳躍$ccb<=50　登攀$ccb<=41　マーシャルアーツ$ccb<=65　キック$ccb<=64　こぶし$ccb<=45　アサルトライフル(AKM)$ccb<=40　拳銃(45口径リボルバー)$ccb<=40　クトゥルフ神話,俳優　宵待迅人$アクション得意$ヘタレ$怜ちゃん大好き,傀逅$シュガーレス・ハッピーバレンタイン,怜と幸せになってくれ～。,幸せになって,友達になりたい,まじで好き結婚しよ。,相棒、祝儀ははずむぜー,怜ちゃんを守ってね,"https://picrew.me/image_maker/26311
メーカー削除済み",
7,漆葉繚,うるはめぐ,20,女,アイドル→女優,#91ABD0,11/11,8/8,40/40,0,5,9,8,15,18,13,15,12,ccb<=40　幸運$ccb<=75　アイデア$ccb<=60　知識$ccb<=60　聞き耳$ccb<=50　目星$ccb<=55　図書館$ccb<=55　応急手当$ccb<=61　精神分析$ccb<=35　説得$ccb<=50　心理学$ccb<=36　変装$ccb<=50　芸術(歌唱)$ccb<=10　芸術(ダンス)$ccb<=30　言いくるめ$ccb<=30　写真術$ccb<=30　隠れる,元アイドルMeG$惹に依存気味$お歌が上手い,海も枯れるまで【HO1】,しんどい。,幸せになって,多分おそらく中身の人がきっと楽しかったんだろう,ゆるさんその2、健気、この子見てるだけで感情がジェットコースター。,美しい殺意,陸のこと忘れないで,"https://picrew.me/image_maker/278121
メーカー削除済み",
8,望星儡夢,みほしらいむ,20,男,パチ屋アルバイト,#F3A016,8/13,13/13,49/65,1D4,11,11,13,12,10,14,8,9,ccb<=65　幸運$ccb<=40　アイデア$ccb<=45　知識$ccb<=60　目星$ccb<=60　聞き耳$ccb<=25　図書館$ccb<=15　言いくるめ$ccb<=44　回避$ccb<=10　経理$ccb<=25　心理学$ccb<=55　説得$ccb<=45　値切り$ccb<=65　キック$ccb<=60　こぶし$ccb<=20　隠れる,夢はカジノディーラー$地頭よわよわその2$難しいことはわからない,沼男は誰だ？【HO4】,夢見せてあげたかった…,姫芽子はあなたを忘れない,★,ああ、同卓したかったな…,主人公力カンスト,映画館でも仲良くしてね,https://picrew.me/image_maker/10948,
9,三廻部燿,みくるべあき,23,女,体育教師,#E43F3B,12/12,9/9,29/45,0,14,13,9,7,12,11,13,16,ccb<=45　幸運$ccb<=65　アイデア$ccb<=80　知識$ccb<=70　目星$ccb<=75　聞き耳$ccb<=50　図書館$ccb<=45　心理学$ccb<=50　説得$ccb<=25　医学$ccb<=16　天文学$ccb<=34　回避$ccb<=45　水泳$ccb<=60　応急手当$ccb<=75　キック$ccb<=65　こぶし$ccb<=55　隠す$ccb<=55　隠れる$ccb<=45　跳躍$ccb<=45　投擲,ニコニコした体育教師$バスケ部顧問$天文部副顧問$元いじめっ子$独身,ソープスクール【HO2】,あきちゃんつおい。,ごめん。すこ,正直よう絡んどらんねん、すまん,私の好きな先生に似てる,生態系の最上位種,長々考察しちゃうくらいには好き,創造主,
10,鳴咬侠矢,なるかみきょうや,26,男,ヤクザ,#002FA7,14/14,11/11,55/55,1D4,12,12,11,14,7,15,9,16,ccb<=55　幸運$ccb<=45　アイデア$ccb<=80　知識$ccb<=65　目星$ccb<=35　聞き耳$ccb<=75　図書館$ccb<=45　言いくるめ$ccb<=60　隠す$ccb<=45　心理学$ccb<=45　値切り$ccb<=40　芸術(イカサマ)$ccb<=75　キック$ccb<=60　こぶし$ccb<=50　経理$ccb<=50　法律$ccb<=3　クトゥルフ神話,地頭よわよわその3$字がきれい,落園,本当にいい子なんです…。,,ぐっとらっく,,,侠矢…………,"https://picrew.me/image_maker/32223
メーカー削除済み",
11,空,うつほ,24,男,組織工作員,#4DD7E3,11/11,12/12,60/60,0,10,9,12,10,10,13,15,21,ccb<=60　幸運$ccb<=75　アイデア$ccb<=95　知識$ccb<=45　目星$ccb<=30　聞き耳$ccb<=75　図書館$ccb<=60　応急手当$ccb<=61　精神分析$ccb<=55+10　医学$ccb<=41+10　薬学$ccb<=35+50　心理学$ccb<=31+10　化学$ccb<=31+10　生物学$ccb<=20+10　博物学$ccb<=31+10　英語$ccb<=21+10　ドイツ語$ccb<=35+10　法律$ccb<=65　こぶし$ccb<=55　キック$ccb<=52+20　拳銃$ccb<=35　言いくるめ$ccb<=11　隠れる$ccb<=5　クトゥルフ神話,記憶喪失$好きなお菓子：金平糖$自分勝手$博学$強くてニューゲーム,NOBODY*2【HO2】,大好き。RPくそ楽しい。,かわいいね,,世界を変えてしまった共犯。一緒に色々頑張って行きたい,かわいい、お兄ちゃんと仲良くね,色々とずるい、だがそこがいい,創造主,
12,霞巳空,かすみうつほ,17,男,高校2年生,#4DD7E3,11/11,12/12,55/60,0,10,9,12,10,10,13,15,10,ccb<=60 幸運$ ccb<=75 アイデア$ ccb<=50 知識$ ccb<=45 目星$ ccb<=30 聞き耳$ ccb<=75 図書館$ ccb<=50 応急手当$ ccb<=51 精神分析$ ccb<=35+50 心理学$ ccb<=31+10 化学$ ccb<=31+10 生物学$ ccb<=10+10 博物学$ ccb<=21+10 英語$ ccb<=11+10 ドイツ語$ ccb<=25+10 法律$ ccb<=65 こぶし$ ccb<=55 キック$ ccb<=35 言いくるめ$ ccb<=11 隠れる,好きなお昼：メロンパン$好きなお菓子：金平糖$好きな飲み物：いちご牛乳,NOBODY学園,りんたろー…(´;ω;｀),見守ってるよ,,,,どの世界線でも愛しい弟,創造主,
13,larme,らるむ,11,男,聖歌隊,#00984F,9/9,8/8,37/40,0,9→11,8,8,14,17,10→16,12,8→15,ccb<=40　幸運$ccb<=60　アイデア$ccb<=40　知識$ccb<=40　聞き耳$ccb<=35　目星$ccb<=60　図書館$ccb<=46　他の言語(英語)$ccb<=50　母国語(フランス語)$ccb<=45　説得$ccb<=35　心理学$ccb<=60　芸術(歌唱)$ccb<=45　隠れる$ccb<=45　忍び歩き$ccb<=53　回避,フランスはパリの出身$勉学に秀でている$４歳下の弟がいる$ルールを守らない人が嫌い,ヴェルネの天使は死を歌う,大人になって自由に歌え！,僕のこと覚えててよ！？,,,,真面目な年下かわいい,戦犯,
14,四方咲瑠兎,よもさきるうと,22,男,探偵,#4B5F9E,7/14,11/11,11/55,1D4,13,14,11,8,14,13,13,14,ccb<=55　幸運$ccb<=65　アイデア$ccb<=70　知識$ccb<=60　目星$ccb<=50　聞き耳$ccb<=35　図書館$ccb<=56　回避$ccb<=35　言いくるめ$ccb<=31　鍵開け$ccb<=55　心理学$ccb<=50　追跡$ccb<=25　法律$ccb<=40　運転(車)$ccb<=40　組みつき$ccb<=55　こぶし$ccb<=75　キック$ccb<=21　マーシャルアーツ$ccb<=56　他の言語(英語),中学テニス部$高校生徒会長(天啓)$探偵事務所Spica所長(天啓)$6歳年上の姉がいる,同居人【HO無】,人事を尽くして天啓を待つ,大丈夫。ずっとそばにいる,,,,守られてたね;;,https://picrew.me/image_maker/625951,
15,凍季密,ときみつる,32,男,精神科医,#7CA1F0,12/12,11/11,54/55,0,10,11,11,10,10,12,11,18,ccb<=55 幸運$ccb<=55 アイデア$ccb<=90 知識  $ccb<=35 聞き耳$ccb<=50 目星$ccb<=55 図書館$ccb<=60 応急手当$ccb<=81 精神分析$ccb<=65 心理学$ccb<=50 医学$ccb<=45 機械修理$ccb<=45 電気修理$ccb<=46 薬学$ccb<=21 生物学$ccb<=31 他言語（英語）$ccb<=16 他言語（ドイツ語）$ccb<=35 言いくるめ,,紡命論とシンギュラリティ$【HO4】,ぱんち！,かっこよかったぜ,,ロールは最高でしたロールは、あと信念貫いてるところとかね、私がもっと強ければ…！,,同志よ！,https://picrew.me/image_maker/134965,
16,夢蝕ばく,ゆめはみばく,？,女,夢の管理人/Vtuber,#FEECD8,,,,,,,,,,,,,,https://emoklore.charasheet.jp/edit/75490$夢見の妖精通過してから見てね,エモクロア　夢見の妖精,シンプルかわいい枠,ほわほわかわいい,,かわいいい,,シンプルにかわいかった,https://picrew.me/image_maker/41329,
17,Arche Lifar,あるしゅ・りふぁーる,29,男,司祭,#B7282E,5/11,11/14,24/70,1D4,15,7,14,10,14,15,16,15,ccb<=70　幸運$ccb<=70　アイデア$ccb<=80　知識$ccb<=40　目星$ccb<=50　聞き耳$ccb<=50　図書館$ccb<=55　オカルト$ccb<=60　心理学$ccb<=50　説得$ccb<=50　歴史$ccb<=70　信用$ccb<=46　他の言語(ラテン語)$ccb<=35　応急手当$ccb<=36　精神分析$ccb<=80　ナイフ$ccb<=50　回避$ccb<=26　変装$ccb<=47　クトゥルフ神話$$1d4+2+1d4　ナイフ,両親のことは知らない$基本的に物腰柔らか$人畜無害な顔してる$人生と信仰と魂を汚された男,ジャンヌの猟犬【HO3】,"顔と存在がえっちすぎる
よく頑張りました","おまままままま
守ってくれてありがとうね？",,えっち,,顔がエロい,戦犯,
18,栄和,ろん,28,女,市役所役員(都市伝説課),#ACA7BB,9/11,13/13,0/65,1D4,14,10,13-5,7,9+1,12,13,14,ccb<=65　幸運$ccb<=65　アイデア$ccb<=70　知識$ccb<=55　目星$ccb<=65　聞き耳$ccb<=45　図書館$ccb<=54　回避$ccb<=35　心理学$ccb<=45　応急手当$ccb<=46　精神分析$ccb<=30　言いくるめ$ccb<=30　追跡$ccb<=40　オカルト$ccb<=75　太刀$ccb<=65　短刀$$2d8+1d4　太刀$1d4+1d4　短刀,アナログゲームが好き$一番好きなのは麻雀$全自動麻雀卓が欲しい(経費で)$スタイリッシュお姉さん(ポン)$武器は太刀、お守りに小刀,ようこそ！迷冥市役所都市伝説課へ！【HO1】,ママ～！,,,,,かっこよかった最期まで,上司,
19,東風谷薫,こちやかおる,18,男,高校生(オカルト部副部長/保健委員),#585C82,10/10,11/11,40/55,0,9,5,11,8,11,14,11,12,ccb<=55　幸運$ccb<=55　アイデア$ccb<=60　知識$ccb<=35　目星$ccb<=50　聞き耳$ccb<=75　図書館$ccb<=45　オカルト$ccb<=25　ナビゲート$ccb<=25　言いくるめ$ccb<=11　天文学$ccb<=35　心理学$ccb<=40　信用$ccb<=51　精神分析$ccb<=60　応急手当$ccb<=20　医学$ccb<=20　博物学$ccb<=36　回避,ひょろいもやし$日光アレルギー$保健室の常連$姉と妹に挟まれた長男$突然の奇行(言葉足らず),Bye-Bye summre days,雷同の頭を撫でたのは、繰り返す世界で変わらない雷同に少し安心してるからです,す　き,,かわい〜〜子、私も頭なでなでしたい,,なんで雷同の頭撫でたんですか！？,創造主,
20,姫柊律耶,ひめらぎりつか,25,男,フリーター,#764699,11/12,16/16,55/80,1D4,14,11,16,10,10,13,12,16,"ccb<=80　幸運$ccb<=60　アイデア$ccb<=80　知識$ccb<=50　目星$ccb<=75　聞き耳$ccb<=35　図書館$ccb<=80　隠す$ccb<=80　忍び歩き$ccb<=50　回避$ccb<=55　芸術(化粧)$ccb<=55　制作(人形)$ccb<=45　信用$ccb<=55　鉈$ccb<=50　組付き$$1d6+1+1d4　鉈",女装男子$かわいいもの大好き$だからお人形遊びする,雨降らしの蝶【HO1】,こういうキャラのRPが一番好きかもしれない,人生楽しそうだね～^^,,,,好き！！！でも近寄らないで！！！,https://picrew.me/image_maker/139707,
21,八坂縲,やさかるい,20,女,文学部2年生,#FF336E,8/8,14/14,70/70,0,14,7,14,10,15,9,13,12,ccb<=70　幸運$ccb<=65　アイデア$ccb<=60　知識$ccb<=40　聞き耳$ccb<=55　目星$ccb<=75　図書館$ccb<=60　応急手当$ccb<=40　心理学$ccb<=41　他言語（英語）$ccb<=60　回避$ccb<=70　歴史$ccb<=55　信用$ccb<=65　キック（厚底靴）,ビジネスヤンデレ$根は真面目$転勤族$踏みつけ(厚底靴),辜月のN【HO箱】,"かわいいいいこ
俺は秘匿を話した！！！",,,めちゃ好きだしロールめちゃめちゃよかったけど同卓あんまりしたくない,,百合が最高だった,戦犯,
