ID,name,hiraname,age,sex,job,color,hp,mp,san,db,str,con,pow,dex,app,siz,int,edu,skill,setting,scenario,driverCom,managerCom,bossCom,spiritualCom,warcrimCom,creatorCom,maker,filename
1,ニーフリット,にーふりっと,14,男,中学2年生、ゲーマー,水色 #B2FFFF 黄色 #FFFF00,8/8,12/12,57/60,0,14,7,12,7,11,9,18,12,ccb＜=57　　SAN$ccb＜=60　　幸運$ccb＜=90　　アイデア$ccb＜=60　　知識$ccb＜=75　　目星$ccb＜=80　　聞き耳$ccb＜=50　　図書館$ccb<=3　　クトゥルフ神話$ccb<=14　　回避$ccb<=80　　コンピュータ$ccb<=４２　　隠れる$ccb<=６０　　機械修理$ccb<=３０　　製作（衣装）$ccb<=２５　　英語$ccb<=３０　　日本語$ccb<=６０　　ロシア語$ccb<=２９　　変装$ccb<=５０　　投擲$ccb<=30　　拳銃$ccb<=30　　鍵開け$ccb<=40　　日本刀（ブラックニンジャソード）$１ｄ６＋１＋ｄｂ　ブラックニンジャソード,ロシア出身$男の娘の天才ゲーマー,紅の幻想$ハロウィンワンナイトクルーズ$n回目の初演$英雄たちのフェルンウェー$デッドレックエンコード$鳥籠のカナリア,管理人って感じ,かわいいね,管理人へのイメージ,元祖男の娘,かわいい…,キャワたん,元 https://picrew.me/image_maker/5090,nefrit.html
2,立花玻奈子,たちばな　はなこ,21,女,お米農家,#FFB6C1,10/10,11/11,55/55,0,10,9,11,12,9,11,13,9,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=65　　アイデア$ccb＜=45　　知識$ccb＜=55　　目星$ccb＜=40　　聞き耳$ccb<=0    クトゥルフ神話$ccb<=24　　回避$ccb<=45　　製作（穀物）$ccb<=31　　重機械操作$ccb<=50　　応急手当$ccb<=45　　説得$ccb<=60　　運転$ccb<=60　　ショットガン　（中口径ショットガン12ゲージ狩猟用半自動式　装填数3発）$4d6＋2　　ダメージ$ccb<=35　　隠れる$ccb<=45　　博物学$ccb<=35　　投擲$ccb<=,,はらぺこあおむし$遊園地は死で遊ぶ$愛飢ゑヲワル,,かわいいです,重めのシナリオにいっぺん来てみて欲しい,いろんなのに継続として出よう？,健やかでいて欲しいと同時に曇らせたい,この田舎娘可愛すぎる…！,ぴくるー,TatibanaHanako.html
3,壺久田創,つぼくだ　はじめ,20,男,大学2年生,#FFC107,13/13,14/14,68/70,1d4,2021/10/01,10,14,10,14,15-1,8,13,ccb<={SAN}　　SANチェック$ccb<=70　　幸運$ccb<=40　　アイデア$ccb<=65　　知識$ccb<=65　　目星$ccb=25　　聞き耳$ccb<=25　　図書館$ccb<=6    クトゥルフ神話$ccb<=20　　回避$ccb<=65　　芸術（陶芸）$ccb<=60　　製作（陶芸）$ccb<=40　　歴史$ccb<=41　　MA$ccb<=40　　信用$ccb<=41　　地質学$ccb<=35　　芸術（歌）$ccb<=50　　運転,陶芸家を目指す天然？アホ？頭が弱い？大学二年生$人をすぐ信じてしまう素直な子なのでトラブルに巻き込まれやすい$普通に歌がうまい(歌いながら作業とかしてる)$左腕欠損,Life goes on$なつまつり$極楽浄土に棲む魚ver創造主$芋虫,,私の中で初主人公,一般人1号,かわいい大学生,爽やかビームが撃てる,大学生代表,ぴくるー,
4,斎海花鶏,さいかい　あとり,20,男,精神科医学院2年生,#607D8B,12/12,10/10,44/50,1d4,13,10,10,12,11,14,15,17,ccb＜=50　　SAN$ccb＜=50　　幸運$ccb＜=75　　アイデア$ccb＜=85　　知識$ccb＜=50　　目星$ccb＜=50　　聞き耳$ccb＜=25　　図書館$ccb<=0    クトゥルフ神話$ccb<=24　　回避$ccb<=60　　医学$ccb<=70　　心理学$ccb<=71　　精神分析$ccb<=41　　生物学$ccb<=65　　説得$ccb<=61　　英語$ccb<=56　　ドイツ語$ccb<=70　　キック,,矛盾本能,最初にお世話になった子,本能を理性で押し通してそうで好き,,,冷静で助かる,頭良さそう,ぴくるー,
5,野良陸羅,のら　りくら,,男,カウンセラー,#115537,14/14,15/15,73/75,1d4,13,15,15,10,15,13,13,15,ccb＜={SAN}　　SAN$ccb＜=75　　幸運$ccb＜=65　　アイデア$ccb＜=75　　知識$ccb＜=25　　目星$ccb＜=25　　聞き耳$ccb＜=55　　図書館$ccb<=2    クトゥルフ神話$ccb<=20　　回避$ccb<=90　　言いくるめ$ccb<=90　　心理学$ccb<=81　　英語$ccb<=61　　ドイツ語$ccb<=60　　投擲$ccb<=75　　こぶし$ccb<=50　　キック,,太古の座敷牢,名前好き,最高、もっと回りたい,やべえヤツ,KP側はやりにくいw,まだ遭遇したことないぜ…,次は捌いてみせる,https://picrew.me/image_maker/332327 +加工,
6,壺久田完,つぼくだ　たもつ,22,男,大学4年生,#795548,10/10,10/10,43/50,0,6,7,10,12,11,13,12,12,ccb＜={SAN}　　SAN$ccb＜=50　　幸運$ccb＜=60　　アイデア$ccb＜=60　　知識$ccb＜=75　　目星$ccb＜=25　　聞き耳$ccb＜=25　　図書館$ccb<= 0   クトゥルフ神話$ccb<=24　　回避$ccb<=60　　隠れる$ccb<=60　　忍び歩き$ccb<=51　　精神分析$ccb<=55　　心理学$ccb<=51　　マーシャルアーツ$ccb<=50　　自動車運転$ccb<=60　　ショットガン（２５？　ダメージ1d8）$1d8  ダメージ,サバゲが趣味。,祝祭$混沌を運ぶ者$once for both,陽が勝手に懐いてる,世界は広いぜ完君よ,もっと見たい,いいね〜,兄弟同時に出せないのがクトゥルフの辛い所,兄弟コンプ期待,https://picrew.me/image_maker/249679/,
7,リフィーネ・チークス,りふぃーね・ちーくす,32,女,小説家,#C7B2D6,/13,/11,/55,0,11,13,11,10,18,12,14,20,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=70　　アイデア$ccb＜=95　　知識$ccb＜=60　　目星$ccb＜=55　　聞き耳$ccb＜=50　　図書館$ccb<=0    クトゥルフ神話$ccb<=20　　回避$ccb<=55　　オカルト$ccb<=65　　芸術(文才)$ccb<=75　　心理学$ccb<=49　　フランス語$ccb<=52　　英語$ccb<=52　　ドイツ語$ccb<=50　　歴史$ccb<=60　　応急手当$ccb<=36　　ロシア語$ccb<=50　　キック,雪松麗香$（雪schnee 松kiefer）$↓$Refine Cheeks,コマドリの葬列$スモーキンバラッド,,あなたは一人じゃない,存外天然,中の人と似てるところがある,ギャップ萌え,えちお姉さんの皮を被った純情少女ってイメージがある,ぴくるー,
8,来栖うる,くるす　うる,18,女,大学1年生,#03A9F4,13/13,12/12,60/60,0,11,13,12,12,6,13,18,11,ccb＜={SAN}　　SAN$ccb＜=60　　幸運$ccb＜=90　　アイデア$ccb＜=55　　知識$ccb＜=70　　目星$ccb＜=75　　聞き耳$ccb＜=75　　図書館$ccb<=0    クトゥルフ神話$ccb<=39　　回避$ccb<=70　　運転（自動車）$ccb<=65　　機械修理$ccb<=61　　コンピュータ$ccb<=60　　投擲$ccb<=65　　キック$ccb<=40　　ショットガン,パソコン系に強い$ファングにて活動中,壊胎,Fαng隊員仲間(別世界),頑張って世界を救って,元気でいて欲しい,うるとら兄弟好きだよ…,強く生きてる,ゆるっとしてるけど主人公,上司,
9,聖沢咲之介,ひじりさわ　さくのすけ,25,男,ライター,#3F51B5,12/12,11/11,33/55,1d4,16,9,11,8,12,14,13,15,ccb＜={SAN}　　SAN$ccb＜=55　　幸運$ccb＜=65　　アイデア$ccb＜=55　　知識$ccb＜=75　　目星$ccb＜=80　　聞き耳$ccb＜=65　　図書館$ccb<=40    クトゥルフ神話$ccb<=45　　回避$ccb<=50　　言いくるめ$ccb<=20　　写真術$ccb<=46　　心理学$ccb<=30　　追跡$ccb<=46　　英語$ccb<=80　　こぶし$ccb<=60　　キック$ccb<=31　　MA,,傀逅$カタシロ,,どんだけ妹好きやねん,あんま知らんねん,傀逅の一緒に死にたい発言にドキッとした,シスコンなんですかー？,シスコン〜,ぴくるー,
10,久留間鳩歌,くるま　はとか,11,女,小学6年生,#ADFF2F,13/13,10/10,10/50,0(1d4),11,8,10,10,15,11(17),13,6,ccb＜={SAN}　　SAN$ccb＜=50　　幸運$ccb＜=65　　アイデア$ccb＜=30　　知識$ccb＜=65　　目星$ccb＜=75　　聞き耳$ccb＜=65　　図書館$ccb<= 0   クトゥルフ神話$ccb<=20　　回避$ccb<=50　　隠す$ccb<=55　　写真術$ccb<=50　　頭突き,,とある幸せな家族の話(小5、10歳)【HO4】$無題,,これからが人生だ,これからが君の物語だ。,私が守るからね、,産んだのは俺です,俺の娘………,上司,
11,木幡優子,こわた　ゆうこ,28,女,映像制作系の会社員,#E9967A,12/12,7/7,35/35,1d4,14,9,7,11,13,14,16,17,ccb＜={SAN}　　SAN$ccb＜=35　　幸運$ccb＜=80　　アイデア$ccb＜=85　　知識$ccb＜=55　　目星$ccb＜=75　　聞き耳$ccb＜=70　　図書館$ccb<=0+1    クトゥルフ神話$ccb<=22　　回避$ccb<=65　　応急手当$ccb<=41　　鍵開け$ccb<=50　　隠れる$ccb<=35　　隠す$ccb<=50　　機械修理$ccb<=66　　コンピュータ$ccb<=65+4　　説得$ccb<=41　　英語$ccb<=60　　運転$ccb<=20　　芸術(ユーフォニアム演奏)$ccb<=5+4　芸術（演技）$@n$@--$@w$@TT,ヲタク,棄教$果てにて$Dの信仰,,もっと欲望に忠実になっていいよ,KPとしてアップを始めたい,進まない美ってあるよね,式いつ？,リスみたい,https://picrew.me/image_maker/471635,
12,来栖とら,くるす　とら,21,男,大学3年生,#75A9FF,13/13,17/17,82/85,1d4,15,11,17,7,10,15,10,17,ccb＜={SAN}　SAN$ccb＜=85　幸運$ccb＜=50　アイデア$ccb＜=85　知識$ccb＜=60　目星$ccb＜=75　聞き耳$ccb＜=45　図書館$ccb<=65　組付き$ccb<=28　斧$ccb<=82　キック$1d6+1d4　キック　ダメージ$1d6*2+1d4　キック　MAダメージ$ccb<=74　こぶし（MA:74）$1d3*2+1d4　こぶし　MAダメージ$ccb<=60　英語$ccb<=30　ラテン語$ccb<=50　歴史$ccb<=0    クトゥルフ神話$@n$@w$@-$@--$@照れ,柔道黒帯。体を動かすことに関しては得意だが、素早さが少し足りない。日常生活では友達に鈍臭いと言われたりする。$歴史が好きで、ヨーロッパ留学をしたい。その一貫としてラテン語も習っている。$小さい頃から柔道をやっていることもあり、将来はアスリートになるかと思っている。実力があり、オファーもきている。しかし、実際にヨーロッパへ留学してから将来のことをきめたいので、柔道団からは猶予をもらっている。$妹・うるのことを溺愛しているが、あまり表面には出さない。幼少期にうると喧嘩してお顔に傷をつけたことを今でも後悔している。$頭は単純。ただ学ぶ意欲は強い。本を読むより人から話を聞く方がわかりやすい。先生に絡みに行き、質問するタイプ。,デッドマンズエスケイプショウ$ワンルーム・ディスコン【HO2】,かわいい一般人,これからどんどん使っていくど～,かわいい教え子,,,狂人に囲まれると映える,https://picrew.me/image_maker/13338,
13,海棠颯太,かいとう　そうた,21,男,怪盗団員,#3F51B5,14/14,13/13,65/65,1d4,13,15,13,8,17,12,13,9,ccb＜={SAN}　　SAN$ccb＜=65　　幸運$ccb＜=65　　アイデア$ccb＜=45　　知識$ccb＜=70　　目星$ccb＜=25　　聞き耳$ccb＜=25　　図書館$ccb<=0    クトゥルフ神話$ccb<=56　　回避$ccb<=61　　鍵開け$ccb<=40　　隠れる$ccb<=55　　信用$ccb<=30　　追跡$ccb<=21　　精神分析$ccb<=35　　頭突き$ccb<=31　　天文学,ばか。$怪盗はもともとかっこよく見えていて、伯爵に会って強く憧れて入団。,豪華客船と怪盗団,,曇らせ最高,苦労人、なようなそうでないような,天然アホ主人公とか言うはちゃめちゃギャグ？キャラ,主人公,背負わせてすまん,https://picrew.me/image_maker/332327,
