ID,name,hiraname,age,sex,job,color,hp,mp,san,db,str,con,pow,dex,app,siz,int,edu,skill,setting,scenario,driverCom,managerCom,bossCom,spiritualCom,warcrimCom,creatorCom,maker,filename
1,マルゲリータ・ステファニー,まるげりーた・すてふぁにー,,女,メイド,#EA553A,,,,,,,,,,,,,,イタリア生まれ、小さい頃に家族を火事で亡くしていて頼れる親戚も友人もいなかったし年も若かったためメイドをするようになる。忙しい毎日を過ごしていたがある日声をかけてくる好青年がいた。ガネッシュだった。そこからリータの物語は始まる。いや終わった。ロスト済みです。,n回目の初演$わたしのかわいいハーメルン$プリズム$落園,,,リータは桜如きでは攫われない、わぁぁぁぁぁぁぁっぁぁぁ(発狂,RPが恥ずかしくなくなったのはこの子のおかげ。どこまでも強くてかわいい最強。,桜に拐われたの…？,かわいそう,,
2,麻宮一星,まみやいっせい,,男,SF小説家,#8B4513,,,,,,,,,,,,,,元は紅の幻想シナリオのNPCだったがスピが好みだったため探索者にした。そしたらなんか思ってたのと違う天然なキャラになってしまった！優しくて人の気持ち考えられるいい子。お酒が好き。年が1000歳を超えているためなんか達観してるところがある。,ハロウィンワンナイトクルーズ$スモーキンバラッド$デッドレックエンコード$探索者ピックアップガチャ$チョコレイトはいかが？,,,ひ、人の気持ちが考えられる、、、？(あっ、急に日本語が読めなくなったようだ,RP側としてはやりやすくて大好きなんですけどね,暴走機関車,キャラ崩壊の擬人化-草なんよ,,
3,翡翠苫斗,,,男,,,,,,,,,,,,,,,,,祝祭,,,,,,立派な海賊になれよ…,,
4,月岡水鳥,つきおかみどり,,女,高校生,#43E6D5,,,,,,,,,,,,,,真っ直ぐで正義感が強い女子高校生！好きなことは体を動かすこと！水泳が特に好き！！あんまり好きじゃないのは勉強かな、、英語が苦手です。友達は多い方でいつも誰かと一緒にいるよ！,"Life goes on$なつまつり$貴方は私を二度殺すのね$Because, Baby, I love you$セーラー服を脱がさないで",また遊びにいこうね～,,きっと正体は天使かナニかなんだろう,やりやすい。ちなみにこの子作ったのはかれこれ4年前くらい,卒業したら疎遠になって欲しい…,ちょっと人間味がない時がある,,
5,織部浩一郎,おりべこうたろう,,男,医者,#808000,,,,,,,,,,,,,,コンセプトを功利主義で作った医者。多数の命助けるためなら多少の犠牲は払わなくてはいけないと考えている。見目にクソデカ感情を持たせることによって功利主義にヒビを入れ、新しく成長させるチャンスを作ったんだけどいい感じにうまくいかなかった。見目が死んでたからなんか違う方向に行っちゃったのもある。,私、友蔵の孫の友人です。$カタシロ,真面目そうなやべーやつ,,一歩引いて見ると、おもしれぇヤツw,織部色の髪の毛、多分おばあちゃんっ子,話し聞きて〜,哀れ〜愚か〜！,,
6,青葉,,,男,,,,,,,,,,,,,,,,男子中学生。正直あんま覚えてない。クソガキやろうとして失敗したんじゃなかった？,コマドリの葬列,,,,男の子としてしっかりRPしようとした結果,良い子だった,うっかりさん,,
7,柚木真宙,,,男,会社員,#FDD876,,,,,,,,,,,,,,ホワイト企業で働く会社員。仕事はできる方でよくいろんな人に頼られると思う。お父さんが宇宙飛行士だったので自分もなりたいと思っていたが、父が死んで母に反対されまくったため母の言う「一番理想の職」に就いた。なりたいものになれるだけの器用さと好きな人とうまい具合に進めないピュアさがある。,棄教$シュガーレス・ハッピーバレンタイン,,,,名前の中性な感じが好き,もう結婚したよね…？,漢気を見せろ‼︎,,
8,日谷琴璃,,,女,高校生,#FFDEAD,,,,,,,,,,,,,,家族のことが大好きだった。今は妹と一緒に必死に生き抜いている。ヴィオラが弾ける。クラスであんまり自分からは話しかけないが人望があり、なにかと頼りにされてるのかもしれない。真剣にRPすると辛い子なのでできれば継続としては使いたくない。,チョコレートコスモス$とある幸せな家族の話$無題,,,前途多難、ふぁいと,この子キャラとしてみると好みの詰まった1番の推しと言ってもいいくらい好きな子なんだけど、自分がやるとなると、気持ちとか生き方とか理解ができてしまう分しんどくなっちゃってRPしたくない子です。,コーヒー持たせないで…,お姉ちゃん、がんばれ。,,
9,九条桃桜,きゅうじょうももか,,女,,#DB7093,,,,,,,,,,,,,ｃｃｂ＜＝80　運転(自動車)$ｃｃｂ＜＝80　応急手当$ｃｃｂ＜＝75　機械修理$ｃｃｂ＜＝60　投擲$ｃｃｂ＜＝75　図書館$ｃｃｂ＜＝75　目星$ｃｃｂ＜＝80　歴史$ｃｃｂ＜＝75　聞き耳$ｃｃｂ＜＝65　こぶし$ｃｃｂ＜＝80　拳銃$ｃｃｂ＜＝45　知識$ｃｃｂ＜＝60　アイデア$ｃｃｂ＜＝85　幸運$ｃｃｂ＜＝85　san,自分がリーダーシップ取ることで全てが上手くいくと信じていた。何があっても人に期待するのをやめられないし、希望も捨てられない。なにも溢さないようにしたら全てを取りこぼしてしまう。損する性格だって自覚は最近したけどすぐに治せるほど簡単な問題じゃない。可哀想なやつ。自分の中で一番リアル寄りで、RPするのが一番辛い子,混沌を運ぶもの$密室シェアハウス,惹ちゃんをこれからもよろしく,,この欄の3っつ下、殺していいよね？-いいよ,救ってあげられなくてごめん,正当防衛なんでね〜,健気な未亡人という印象,,
10,端慕蛍,はしたほたる,,男,刑事,#A69ABD,,,,,,,,,,,,,ccb<=60　目星$ccb<=60　聞き耳$ccb<=75　応急手当$ccb<=90　コンピューター$ccb<=80　図書館$ccb<=85　オカルト$ccb<=77　拳銃$ccb<=65　組付き$ccb<=85　投擲$ccb<=30　法律$ccb<=41　人類学$ccb<=41　ほかの言語(英語)$ccb<=50　回避,小さい頃に妹が行方不明になったので自分が警察になって妹を探すと決意。妹は実は同僚に殺されておりどうにもならない後悔とかいっぱい抱えてる。1番の悩みは「これからどうやって生きればいいのか」。妹のために一生懸命だった分、これからどうすればいいのかわからない。,庭師は何を口遊む$デッドマンズエスケイプショウ,顔面が好きです,,キャラとして完成形に近い感じする,個人的にいつも余裕そうにしてるヘラヘラ系設定重が好きなので一番好きかも,ご、ごめん…,お前なら乗り越えられる！,https://picrew.me/image_maker/522865,
11,初鹿明鏡,,,女,,#FF6347,,,,,,,,,,,,,,天然ドジっ子メガネ背高あわあわ系女の子。両目隠れてるビジュアルだいすこ。最近継続で使いたい欲は出てきたけどもう1人の自分が復活させるのはないだろ〜って言ってる,豪華客船と怪盗団,,,オレはお前の生き方を尊重する,ビジュ好きすぎるんよ,でっけぇ女良いぞ〜,怪盗団やめないで…,,
12,海渡陸,うみわたりりく,15,女,,#F4ADA3,,,,,,,,,,,,,$ccb<=60　目星$ccb<=60　聞き耳$ccb<=80　応急手当$ccb<=81　芸術（海の観察）$ccb<=75　ナイフ$ccb<=75 　水泳,海の観察が好き！内向的な女の子！外の世界に憧れてずっと海を眺めてるよ！…あれ、でもなんでだろ、ちょっと心が痛いや,海も枯れるまで,陸ちゃんのおかげで繚は前に進めました,,この手の子は、特に大変そう、がんばれ-そうなんよむずかった,トラウマ回、後悔とかはしてないけど悔しい,陸くんじゃ無いと成し遂げられなかった,儚さランキング１位,,
13,砥石柑柿,とがいしけんし,,男,,#B22300,,,,,,,,,,,,,,強運の持ち主。大学卒で就職しようとしたらダメだったのでフリーターしてたけど宝くじ買ったら当たった。Youtuberをやっていた。現在は絶対に大宮まといと孤児院の人たちを辛い目に合わせたくないと思っている。橋本曲論とまた出会ってまた話したい。今度こそ死なせない。,NOBODY*2$NOBODY学園,空は多分世界を変えるの対して手伝わないと思うのでよろしく-ぴえん,,,サポート役だと思ったら主人公になっちゃった,二期も期待してます,たまに空気について行けてなくて浮いてるの草-わかる,,
14,葉柳萌燃,はやなぎもこ,,女,探偵助手,#AFC297,,,,,,,,,,,,,ccb<=50 san$ccb<=50 幸運$ccb<=55 アイデア$ccb<=95 知識$ccb<=75 応急手当$ccb<=25 精神分析$ccb<=60 聞き耳$ccb<=60 目星$ccb<=50 図書館$ccb<=75 信用$ccb<=85 英語$ccb<=75 心理学$ccb<=75 キック$ccb<=70 組付き$ccb<=8 　芸術(拷問)$MA 32,元々コミュ障で大学でも人と話さない日常を過ごそうと思っていた。突然目の前に現れたのはのじゃろりのよくわかんないやつだった。生き方とかに憧れてツミキに突撃するようになる。なんか色々あって現在は2人で探偵事務所やってる。敬語、世話焼き、やれやれ系ツンデレ、頭がよくて面倒見が良くてキックができる,同居人$死体は夏に向いていない,,,,かわいいかわいそう、健気,1番の友じゃ,やれやれ側が守られるの最高か？？？,,
15,Chateau Caron Berliaall (シャトー　キャロン　ベルリオール),しゃとー きゃろん べるりおーる,10,男,ショタ,#C03B3B,,,,,,,,,,,,,,,ヴェルネの天使は死を歌う,たくさん成長したねぇ,,神RPでした。これからもよろしく,シナリオ中にあんなに成長させてもらえることあるんですか！？,,こんなに可愛い子が女の子なわけないだろ！！！,,
16,独羅,どぐら,,男,,#9E9478,14/14,13/13,65/65,1d4,,,,,,,,,ccb<=62　SAN値$ccb<=65　幸運$ccb<=80　アイデア$ccb<=55　知識$ccb<=45　目星$ccb<=95　聞き耳$ccb<=25　図書館$ccb<=80　応急手当$ccb<=76　回避$ccb<=70　隠れる$ccb<=50　忍び歩き$ccb<=42　オカルト$ccb<=36　薬学$ccb<=80　クロスボウ$2d6　クロスボウダメージ 2d6+1d4,,ようこそ！迷冥市役所都市伝説課へ！,,,,俺の性癖……,,ずけずけ言ってくる後輩かわいい,,
17,小豆ここな,あずきここな,29,女,看護師,#FF6881,9/9,12/12,52/60,,15,8,12,4,13,9,15,13,ccb<=48　回避$ccb<=85　組付き$ccb<=90　応急手当$ccb<=75　隠す$ccb<=30　図書館$ccb<=65　目星$ccb<=90　説得$ccb<=80　医学$ccb<=80　心理学,,紡命論とシンギュラリティ,わからせが似合う,,,動画見直さないといい感じの感想書けないよ〜！,,可哀想w,,
18,火巻透(神島爪白),ひまきとおる(かしまつまじろ),32,女,詐欺師,#F0F8FF,11/11,13/13,65/65,,10,10,13,9,6,11,13,17,ccb<=68　回避$ccb<=70　拳銃$ccb<=90　隠れる$ccb<=40　聞き耳$ccb<=80　忍び歩き$ccb<=55　図書館$ccb<=45　目星$ccb<=80　運転(車)$ccb<=71　変装$ccb<=80　言いくるめ$ccb<=60　博物学,,火灯し頃の蜘蛛踊り,,,おもしれー女？？？,死にたくない！！,,「爪白さんをどこへやったんだよ！！！」,https://picrew.me/image_maker/407340,
